line,station,distance_from_start
Aqua,Noida Sector 51,0.0
Aqua,Noida Sector 50,1.3
Aqua,Noida Sector 76,2.3
Aqua,Noida Sector 101,3.4
Aqua,Noida Sector 81,4.3
Aqua,NSEZ Noida,6.3
Aqua,Noida Sector 83,7.4
Aqua,Noida Sector 137,8.9
Aqua,Noida Sector 142,10.5
Aqua,Noida Sector 143,11.5
Aqua,Noida Sector 144,12.9
Aqua,Noida Sector 145,14.1
Aqua,Noida Sector 146,15.8
Aqua,Noida Sector 147,17.3
Aqua,Noida Sector 148,18.9
Aqua,Knowledge Park II,21.4
Aqua,Pari Chowk Greater Noida,22.5
Aqua,Alpha 1 Greater Noida,23.4
Aqua,Delta 1 Greater Noida,24.9
Aqua,GNIDA Office,26.2
Aqua,Depot Greater Noida,27.1
