line,station,distance_from_start
Yellow,Samaypur Badli,0.0
Yellow,Rohini Sector 18-19,0.8
Yellow,Haiderpur Badli Mor,2.1
Yellow,Jahangirpuri,3.4
Yellow,Adarsh Nagar,4.7
Yellow,Azadpur,6.2
Yellow,Model Town,7.6
Yellow,Guru Tegh Bahadur Nagar,9.0
Yellow,Vishwavidyalaya,9.8
Yellow,Vidhan Sabha,10.8
Yellow,Civil Lines,12.1
Yellow,Kashmere Gate,13.2
Yellow,Chandni Chowk,14.3
Yellow,Chawri Bazar,15.3
Yellow,New Delhi,16.1
Yellow,Rajiv Chowk,17.2
Yellow,Patel Chowk,18.5
Yellow,Central Secretariat,19.4
Yellow,Udyog Bhawan,19.7
Yellow,Lok Kalyan Marg,21.3
Yellow,Jorbagh,22.5
Yellow,Dilli Haat INA,23.8
Yellow,AIIMS,24.6
Yellow,Green Park,25.6
Yellow,Hauz Khas,27.4
Yellow,Malviya Nagar,29.1
Yellow,Saket,30.0
Yellow,Qutab Minar,31.7
Yellow,Chhattarpur,33.0
Yellow,Sultanpur,34.6
Yellow,Ghitorni,35.9
Yellow,Arjan Garh,38.6
Yellow,Guru Dronacharya,40.9
Yellow,Sikandarpur,41.9
Yellow,MG Road,43.1
Yellow,IFFCO Chowk,44.2
Yellow,Huda City Centre,45.7
