line,station,distance_from_start
Blue,Dwarka Sector 21,0.0
Blue,Dwarka Sector 8,1.7
Blue,Dwarka Sector 9,2.7
Blue,Dwarka Sector 10,3.8
Blue,Dwarka Sector 11,4.8
Blue,Dwarka Sector 12,5.8
Blue,Dwarka Sector 13,6.7
Blue,Dwarka Sector 14,7.6
Blue,Dwarka,9.1
Blue,Dwarka Mor,10.2
Blue,Nawada,11.4
Blue,Uttam Nagar West,12.4
Blue,Uttam Nagar East,13.4
Blue,Janak Puri West,14.7
Blue,Janak Puri East,15.7
Blue,Tilak Nagar,16.7
Blue,Subhash Nagar,17.6
Blue,Tagore Garden,18.5
Blue,Rajouri Garden,19.6
Blue,Ramesh Nagar,20.6
Blue,Moti Nagar,21.8
Blue,Kirti Nagar,22.8
Blue,Shadipur,23.5
Blue,Patel Nagar,24.8
Blue,Rajendra Place,25.7
Blue,Karol Bagh,26.7
Blue,Jhandewalan,27.9
Blue,R K Ashram Marg,28.9
Blue,Rajiv Chowk,30.1
Blue,Barakhamba,30.8
Blue,Mandi House,31.8
Blue,Supreme Court (Pragati Maidan),32.6
Blue,Indraprastha,33.4
Blue,Yamuna Bank,35.2
Blue,Akshardham,36.5
Blue,Mayur Vihar Phase-1,38.3
Blue,Mayur Vihar Extention,39.5
Blue,New Ashok Nagar,40.4
Blue,Noida Sector 15,41.4
Blue,Noida Sector 16,42.5
Blue,Noida Sector 18,43.6
Blue,Botanical Garden,44.7
Blue,Golf Course,45.9
Blue,Noida City Center,47.2
Blue,Noida Sector 34,48.1
Blue,Noida Sector 52,49.3
Blue,Noida Sector 61,50.5
Blue,Noida Sector 59,51.5
Blue,Noida Sector 62,52.7
Blue,Noida Electronic City,53.9
