line,station,distance_from_start
Red,Shaheed Sthal (New Bus Adda),0.0
Red,Hindon River,1.0
Red,Arthala,2.5
Red,Mohan Nagar,3.2
Red,Shyam Park,4.5
Red,Major Mohit Sharma,5.7
Red,Raj Bagh,6.9
Red,Shaheed Nagar,8.2
Red,Dilshad Garden,9.4
Red,Jhil Mil,10.3
Red,Mansarovar Park,11.4
Red,Shahdara,12.5
Red,Welcome,13.7
Red,Seelampur,14.8
Red,Shastri Park,16.4
Red,Kashmere Gate,18.5
Red,Tis Hazari,19.7
Red,Pul Bangash,20.6
Red,Pratap Nagar,21.4
Red,Shastri Nagar,23.1
Red,Inderlok,24.3
Red,Kanhaiya Nagar,25.5
Red,Keshav Puram,26.2
Red,Netaji Subash Place,27.4
Red,Kohat Enclave,28.6
Red,Pitam Pura,29.6
Red,Rohini East,30.4
Red,Rohini West,31.7
Red,Rithala,32.7
