line,station,distance_from_start
Violet,Kashmere Gate,0.0
Violet,Lal Quila,1.5
Violet,Jama Masjid,2.3
Violet,Delhi Gate,3.7
Violet,ITO,5.0
Violet,Mandi House,5.8
Violet,Janpath,7.2
Violet,Central Secretariat,8.5
Violet,Khan Market,10.6
Violet,Jawaharlal Nehru Stadium,12.0
Violet,Jangpura,12.9
Violet,Lajpat Nagar,14.4
Violet,Moolchand,15.1
Violet,Kailash Colony,16.4
Violet,Nehru Place,17.4
Violet,Kalkaji Mandir,18.2
Violet,Govind Puri,18.9
Violet,Okhla,20.0
Violet,Jasola,20.9
Violet,Sarita Vihar,22.1
Violet,Mohan Estate,23.3
Violet,Tughlakabad,25.2
Violet,Badarpur Border,26.3
Violet,Sarai,28.8
Violet,N.H.P.C. Chowk,30.4
Violet,Mewala Maharajpur,31.3
Violet,Sector 28 Faridabad,32.5
Violet,Badkal Mor,34.2
Violet,Old Faridabad,35.4
Violet,Neelam Chowk Ajronda,37.0
Violet,Bata Chowk,38.3
Violet,Escorts Mujesar,40.1
Violet,Sant Surdas - Sihi,41.8
Violet,Raja Nahar Singh,43.5
