line,station,distance_from_start
Magenta,Janak Puri West,0.0
Magenta,Dabri Mor - Janakpuri South,2.0
Magenta,Dashrath Puri,3.1
Magenta,Palam,4.6
Magenta,Sadar Bazaar Cantonment,7.2
Magenta,Terminal 1 IGI Airport,8.9
Magenta,Shankar Vihar,10.7
Magenta,Vasant Vihar,12.8
Magenta,Munirka,14.0
Magenta,RK Puram,15.4
Magenta,IIT Delhi,16.3
Magenta,Hauz Khas,17.5
Magenta,Panchsheel Park,19.0
Magenta,Chirag Delhi,19.9
Magenta,Greater Kailash,20.8
Magenta,Nehru Enclave,22.1
Magenta,Kalkaji Mandir,23.0
Magenta,Okhla NSIC,23.8
Magenta,Sukhdev Vihar,24.9
Magenta,JAMIA MILLIA ISLAMIA,26.1
Magenta,Okhla Vihar,26.6
Magenta,Jasola Vihar Shaheen Bagh,28.4
Magenta,Kalindi Kunj,29.8
Magenta,Okhla Bird Sanctuary,31.4
Magenta,Botanical Garden,33.1
