line,station,distance_from_start
Pink,Majlis Park,0.0
Pink,Azadpur,2.1
Pink,Shalimar Bagh,3.7
Pink,Netaji Subash Place,5.1
Pink,Shakurpur,6.3
Pink,Punjabi Bagh West,7.7
Pink,ESI BASAI DARAPUR,10.2
Pink,Rajouri Garden,11.3
Pink,Maya Puri,12.8
Pink,Naraina Vihar,14.3
Pink,Delhi Cantt,16.1
Pink,Durgabai Deshmukh South Campus,19.7
Pink,Sir Vishweshwaraiah Moti Bagh,21.0
Pink,Bhikaji Cama Place,22.6
Pink,Sarojini Nagar,23.8
Pink,Dilli Haat INA,24.9
Pink,South Extension,26.1
Pink,Lajpat Nagar,27.7
Pink,Vinobapuri,29.1
Pink,Ashram,30.3
Pink,Sarai Kale Khan Hazrat Nizamuddin,32.2
Pink,Mayur Vihar Phase-1,35.8
Pink,Mayur Vihar Pocket I,36.6
Pink,Trilokpuri Sanjay Lake,37.9
Pink,Vinod Nagar East,38.7
Pink,Mandawali - West Vinod Nagar,39.3
Pink,IP Extension,40.3
Pink,Anand Vihar,41.9
Pink,Karkar Duma,42.9
Pink,Karkarduma Court,44.0
Pink,Krishna Nagar,44.7
Pink,East Azad Nagar,45.7
Pink,Welcome,46.8
Pink,Jaffrabad,48.0
Pink,Maujpur,49.1
Pink,Gokulpuri,50.4
Pink,Johri Enclave,51.7
Pink,Shiv Vihar,52.6
